EMG Sensor 1,EMG Sensor 2,EMG Sensor 3,EMG Sensor 4
0.0,0.0,0.0,0.0
0.20973100617993623,0.0,0.0,0.0
0.8585468167439103,0.0,0.0,0.0
1.2308789882808924,0.0,0.0,0.0
0.5036728107370436,0.0,0.0,0.0
-0.5120916175656021,0.0,0.0,0.0
-0.9170674020424485,0.0,0.0,0.0
-1.284383819438517,0.0,0.0,0.0
-2.0791664719581604,0.0,0.0,0.0
-2.89501016959548,0.0,0.0,0.0
-3.4369684290140867,0.0,0.0,0.0
-3.7555235903710127,0.0,0.0,0.0
-3.864963771775365,0.0,0.0,0.0
-3.8087591528892517,0.0,0.0,0.0
-3.8006033282727003,0.0,0.0,0.0
-3.9327936246991158,0.0,0.0,0.0
-4.04019933193922,0.0,0.0,0.0
-3.9727548137307167,0.0,0.0,0.0
-3.7240074016153812,0.0,0.0,0.0
-3.355093067511916,0.0,0.0,0.0
-2.917588222771883,0.0,0.0,0.0
-2.406624611467123,0.0,0.0,0.0
-1.8267570994794369,0.0,0.0,0.0
-1.2552133994176984,0.0,0.0,0.0
-0.7559814839623868,0.0,0.0,0.0
-0.31107431277632713,0.0,0.0,0.0
0.1458537153666839,0.0,0.0,0.0
0.607843860052526,0.0,0.0,0.0
1.0839533060789108,0.0,0.0,0.0
1.864975318312645,0.0,0.0,0.0
2.963866339996457,0.0,0.0,0.0
3.7505673244595528,0.0,0.0,0.0
4.006998613476753,0.0,0.0,0.0
4.190840758383274,0.0,0.0,0.0
4.492318723350763,0.0,0.0,0.0
4.749361425638199,0.0,0.0,0.0
4.880447871983051,0.0,0.0,0.0
4.8367939889431,0.0,0.0,0.0
4.548849072307348,0.0,0.0,0.0
4.056800622493029,0.0,0.0,0.0
3.4434322733432055,0.0,0.0,0.0
2.720545046031475,0.0,0.0,0.0
1.8961909227073193,0.0,0.0,0.0
1.0473676957190037,0.0,0.0,0.0
0.280149863101542,0.0,0.0,0.0
-0.3581306373234838,0.0,0.0,0.0
-0.9094487177208066,0.0,0.0,0.0
-1.466631074436009,0.0,0.0,0.0
